Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
rr,P-1A,Ethernet2,100.64.48.0/31,pe,PE-1A,Ethernet2,100.64.48.1/31
rr,P-1A,Ethernet3,100.64.48.4/31,rr,P-2A,Ethernet3,100.64.48.5/31
rr,P-1A,Ethernet6,100.64.48.2/31,p,P-1B,Ethernet6,100.64.48.3/31
p,P-1B,Ethernet2,100.64.48.6/31,pe,PE-1B,Ethernet2,100.64.48.7/31
p,P-1B,Ethernet3,100.64.48.10/31,p,P-4A,Ethernet3,100.64.48.11/31
p,P-1B,Ethernet4,100.64.48.8/31,p,P-3A,Ethernet4,100.64.48.9/31
rr,P-2A,Ethernet2,100.64.48.28/31,pe,PE-2,Ethernet4,100.64.48.29/31
rr,P-2A,Ethernet6,100.64.48.30/31,p,P-2B,Ethernet6,100.64.48.31/31
p,P-2B,Ethernet2,100.64.48.32/31,pe,PE-2,Ethernet5,100.64.48.33/31
p,P-2B,Ethernet3,100.64.48.17/31,p,P-3A,Ethernet3,100.64.48.16/31
p,P-2B,Ethernet4,100.64.48.34/31,p,P-4A,Ethernet4,100.64.48.35/31
p,P-3A,Ethernet2,100.64.48.12/31,pe,PE-3,Ethernet4,100.64.48.13/31
p,P-3A,Ethernet6,100.64.48.14/31,p,P-3B,Ethernet6,100.64.48.15/31
p,P-3B,Ethernet2,100.64.48.18/31,pe,PE-3,Ethernet5,100.64.48.19/31
p,P-3B,Ethernet3,100.64.48.20/31,p,P-4B,Ethernet3,100.64.48.21/31
p,P-4A,Ethernet2,100.64.48.36/31,pe,PE-4A,Ethernet2,100.64.48.37/31
p,P-4A,Ethernet6,100.64.48.36/31,p,P-4B,Ethernet6,100.64.48.37/31
p,P-4B,Ethernet2,100.64.48.36/31,pe,PE-4B,Ethernet2,100.64.48.37/31
