test_id,node,test_category,test_description,test,result,failure_reason
1,GW2,NTP,Synchronised with NTP server,NTP,PASS,
2,GW3,NTP,Synchronised with NTP server,NTP,PASS,
3,SPE5,NTP,Synchronised with NTP server,NTP,PASS,
4,SPE6,NTP,Synchronised with NTP server,NTP,PASS,
5,GW2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_SPE6_Ethernet1,PASS,
6,GW3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_SPE5_Ethernet1,PASS,
7,SPE5,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_GW3_Ethernet1,PASS,
8,SPE6,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_GW2_Ethernet1,PASS,
9,GW2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,FAIL,interface status: down - line protocol status: down
10,GW3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,FAIL,interface status: down - line protocol status: down
11,SPE5,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,FAIL,interface status: down - line protocol status: down
12,SPE6,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,FAIL,interface status: down - line protocol status: down
13,GW2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
14,GW2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
15,GW3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
16,GW3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
17,SPE5,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
18,SPE5,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
19,SPE6,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
20,SPE6,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
